Row;Arabidopsis thaliana;Brachypodium distachyon;Musa acuminata;Oryza sativa;Phoenix dactylifera;Sorghum bicolor
22630;0;0;0;1;0;1
19533;0;0;0;0;1;0
16473;0;1;0;1;0;1
1876;1;1;1;1;1;1
19976;0;0;0;1;0;0
21654;0;0;1;0;1;0
1454;1;1;1;1;1;1
20524;1;0;0;0;0;0
19361;0;0;0;0;0;1
5868;1;1;1;1;1;1
626;1;1;1;1;1;1
10783;0;1;0;1;0;1
1506;1;1;1;1;1;1
13942;1;1;0;1;0;1
2213;1;1;1;1;1;1
17590;0;1;0;1;0;1
21891;0;0;0;0;1;1
8445;1;1;1;1;1;1
12629;0;0;1;0;1;0
4650;1;1;1;1;1;1
16786;0;1;0;1;0;1
19663;0;1;0;0;0;0
683;1;1;1;1;1;1
4393;1;1;1;1;1;1
15258;0;0;0;1;0;1
23106;0;0;0;1;0;1
4022;1;1;1;1;1;1
15992;1;0;1;1;0;0
3632;1;1;1;1;1;1
15391;0;1;0;1;0;1
11232;1;1;1;1;0;1
15409;0;1;0;1;0;1
10389;1;1;1;1;1;1
12456;0;0;0;1;0;1
12890;0;0;0;1;0;1
10332;1;1;1;1;1;1
21011;0;0;0;1;0;0
7096;0;1;0;1;0;0
20671;0;0;0;0;1;0
10943;0;1;0;1;0;0
6490;1;1;1;1;1;1
22260;0;1;0;1;0;0
19524;0;0;0;0;1;0
7399;0;0;1;1;0;1
16312;0;1;0;1;0;1
15464;0;1;0;1;0;1
7254;1;1;1;1;0;1
10132;1;1;1;1;1;1
21658;0;0;1;0;1;0
21083;0;0;0;1;0;0
4167;1;1;1;1;0;1
2397;1;1;1;1;1;1
14627;0;1;0;0;0;1
4410;1;1;1;1;1;1
9925;1;1;1;1;1;1
18467;1;0;0;0;0;0
12900;0;0;0;0;0;1
11559;0;1;1;1;1;1
11027;0;0;0;1;0;0
3643;0;1;1;1;1;1
23080;0;0;0;1;0;1
17572;0;1;0;1;0;1
13347;0;0;0;0;0;1
12728;1;0;0;0;0;0
12842;0;1;0;0;0;1
10290;1;1;1;1;1;1
15032;0;0;1;1;0;0
16167;1;0;1;0;0;1
17413;0;1;0;1;0;1
21377;0;0;1;0;1;0
5224;0;0;1;0;0;0
9658;1;1;1;1;1;1
1152;1;1;1;1;1;1
312;1;1;1;1;1;1
18484;1;0;0;0;0;0
21369;0;0;1;0;1;0
15198;1;0;0;0;0;0
2492;1;1;1;1;1;1
16540;0;1;0;1;0;1
16385;0;1;0;1;0;1
11319;1;1;0;1;1;1
3393;1;1;1;1;1;1
2410;1;1;1;1;1;1
16467;0;1;0;1;0;1
19611;0;1;0;0;0;0
17856;0;0;1;0;0;0
11771;1;0;1;1;1;1
10558;0;0;1;1;0;1
13040;0;1;0;1;0;1
3221;1;1;1;1;1;1
2348;0;1;0;0;1;0
3250;1;1;1;1;1;1
20473;1;0;0;0;0;0
7068;1;1;1;1;1;1
10292;1;1;1;1;1;1
3071;1;1;1;1;1;1
7287;1;1;1;1;1;1
3556;1;0;0;0;1;0
3067;1;1;1;1;1;1
14576;0;1;0;0;0;1
4613;1;1;1;1;1;1
21988;0;1;0;1;0;0
17343;0;1;0;1;0;1
11445;1;1;1;1;0;1
542;1;1;1;1;1;1
2029;1;1;1;1;1;1
21172;0;0;0;1;0;1
6693;0;1;0;1;0;1
21898;0;1;0;0;0;1
1338;1;1;1;1;1;1
19569;0;1;0;0;0;0
19584;0;1;0;0;0;0
16620;0;1;0;1;0;1
22658;0;0;0;1;0;1
2984;0;1;0;1;0;1
4617;1;1;1;1;0;1
7921;1;0;0;0;0;0
8884;1;1;1;1;1;1
22489;0;1;0;0;0;1
19983;0;0;0;1;0;0
1099;1;1;1;1;0;1
4230;0;1;1;1;0;1
17523;0;1;0;1;0;1
20623;0;0;0;0;1;0
14602;0;0;0;0;0;1
17819;0;0;0;1;0;0
13112;0;1;0;0;0;0
17171;0;1;0;1;0;1
12536;0;0;1;1;0;0
5573;1;1;1;1;1;1
15401;0;1;0;1;0;1
1270;1;1;1;1;1;1
11231;1;1;1;1;0;1
13290;0;0;0;1;0;0
12725;1;0;1;0;1;0
20583;0;0;0;0;1;0
3817;1;1;1;1;1;1
22206;0;1;0;0;0;1
3561;1;1;1;1;1;1
9033;1;1;1;1;1;1
4695;1;1;1;1;1;1
3046;1;1;1;1;1;1
2533;1;1;1;1;0;1
5025;1;1;1;1;1;1
4220;1;1;1;1;1;1
18983;0;0;0;0;0;1
13481;0;1;0;1;1;1
7192;0;1;1;1;1;1
22345;0;1;0;1;0;0
8452;1;1;1;1;1;1
20644;0;0;0;0;1;0
12966;0;0;0;0;0;1
21834;1;0;0;0;1;0
2354;1;1;1;1;0;1
10734;1;1;0;1;0;1
22540;0;1;0;1;0;0
18213;0;0;1;0;0;0
12160;1;1;1;1;0;1
274;1;1;1;1;1;1
12017;0;1;1;1;1;1
766;0;0;0;1;0;1
7926;0;0;0;0;1;0
15496;0;1;0;1;0;1
22886;0;0;0;1;0;1
16976;0;1;0;1;0;1
16030;1;0;1;0;1;0
21978;0;0;0;0;1;1
1430;1;1;1;1;1;1
5368;1;1;1;1;0;1
14007;0;1;0;1;1;1
13572;1;0;1;1;1;0
10665;1;1;1;1;0;1
16236;1;1;0;0;1;0
6805;0;0;0;1;0;0
16166;1;0;1;0;1;0
21054;0;0;0;1;0;0
9618;1;1;1;1;1;1
6568;0;1;1;1;1;1
3229;1;1;1;1;1;1
21984;0;1;0;0;0;1
12236;1;1;1;1;0;1
12360;1;1;0;1;1;1
16285;0;1;0;1;0;1
7827;0;1;1;1;1;1
17330;0;1;0;1;0;1
13789;0;1;1;0;1;1
20674;0;0;0;0;1;0
113;0;0;0;1;1;1
12635;0;0;1;1;0;0
21788;1;0;1;0;0;0
22287;0;1;0;1;0;0
15796;0;1;0;1;0;1
3409;1;1;1;1;1;1
10376;1;1;1;1;1;1
12993;0;1;0;1;0;1
17140;0;1;0;1;0;1
9632;1;1;1;1;1;1
3429;1;1;1;1;1;1
5605;1;1;1;1;0;1
10307;1;1;1;1;1;1
4260;1;1;1;1;1;1
8146;1;1;1;1;1;1
2263;0;0;0;0;0;1
10897;1;1;0;1;0;1
344;0;1;1;1;1;1
473;1;1;1;1;1;1
5661;1;1;1;1;1;1
1557;0;1;0;1;0;0
13103;0;1;0;1;0;1
2036;1;1;1;1;1;1
7305;1;0;1;0;0;1
12464;0;0;0;0;1;0
15063;0;0;0;1;0;0
20454;1;0;0;0;0;0
15406;0;1;0;1;0;1
22528;0;1;0;0;0;1
15843;0;1;0;1;0;1
1397;1;1;1;1;1;1
3803;0;0;0;1;0;0
11946;1;1;1;1;0;1
15540;0;1;0;1;0;1
5641;1;1;1;1;1;1
19463;0;0;0;0;1;0
15209;0;0;0;0;0;1
14026;0;1;0;1;0;1
12371;1;1;0;1;1;1
19438;0;0;0;0;1;0
13128;0;1;0;1;0;1
7058;1;1;1;1;1;1
125;1;1;1;1;1;1
13781;0;1;1;1;0;1
22236;0;1;0;1;0;0
411;1;1;1;1;1;1
15334;0;1;0;1;0;1
6264;1;1;1;1;1;1
13567;1;0;1;0;1;1
10730;1;1;0;1;0;1
15689;0;1;0;1;0;1
7890;0;1;0;1;0;0
22343;0;1;0;0;0;1
5414;1;1;1;1;0;1
22768;0;0;0;1;0;1
14290;0;0;1;1;0;0
23051;0;0;0;1;0;1
9971;1;1;1;1;1;1
16838;0;1;0;1;0;1
20883;0;0;0;1;0;0
19892;0;0;0;0;1;0
9383;1;1;1;1;1;1
1067;0;1;1;1;1;1
10642;0;1;1;0;0;1
2227;1;1;1;0;1;1
14589;0;0;0;0;0;1
8862;1;1;1;1;1;1
7085;1;1;1;1;1;1
10055;1;1;1;1;1;1
1844;0;0;1;0;0;0
6895;1;1;1;1;1;1
12698;1;0;0;0;0;0
12200;1;1;1;1;1;0
2873;0;0;0;0;0;1
2883;1;1;1;1;1;1
5288;1;0;1;0;0;0
4501;1;1;1;1;1;1
5153;1;1;1;1;1;1
3776;1;1;1;1;1;1
8058;1;1;1;1;1;1
10925;0;1;1;1;1;0
3763;1;1;1;1;1;1
9588;1;1;1;1;1;1
12334;1;1;1;1;0;1
21575;0;0;1;0;1;0
19903;0;0;0;1;0;0
6444;1;0;0;0;1;1
9188;1;1;1;1;1;1
18295;0;0;1;0;0;0
12382;1;1;0;1;1;1
4957;0;1;0;0;0;0
7841;1;1;1;1;1;0
5036;1;1;1;1;1;1
17089;0;1;0;1;0;1
8198;1;1;1;1;1;1
2791;1;0;0;0;0;0
574;1;1;1;1;1;1
23131;0;0;0;1;0;1
14653;0;0;0;0;0;1
17154;0;1;0;1;0;1
19545;0;0;0;0;1;0
13698;0;1;1;1;0;1
4326;1;0;1;1;1;1
9691;1;1;1;1;1;1
10200;1;1;1;1;1;1
8855;1;1;1;1;1;1
13559;1;1;1;1;0;0
18330;0;0;1;0;0;0
10125;1;1;1;1;1;1
4526;1;1;1;1;1;1
7547;1;1;1;1;0;1
7497;1;1;1;1;0;1
21941;0;1;0;1;0;0
13950;1;1;0;1;0;1
6622;1;1;1;1;1;1
18705;1;0;0;0;0;0
12787;0;0;1;0;1;0
17313;0;1;0;1;0;1
17228;0;1;0;1;0;1
11163;0;1;1;1;1;1
5253;1;1;1;1;1;1
9320;1;1;1;1;1;1
9229;1;1;1;1;1;1
9648;1;1;1;1;1;1
11696;0;1;1;1;1;1
20296;1;0;0;0;0;0
12449;0;1;0;1;0;1
4032;1;1;1;1;0;1
3;0;0;0;0;0;1
13813;0;1;0;1;1;1
14585;0;0;0;1;0;1
5654;1;1;1;1;1;1
16182;0;0;1;1;0;1
9213;1;1;1;1;1;1
11212;1;0;1;1;1;1
28;0;1;0;1;0;1
4868;0;1;0;1;0;1
6118;1;1;1;1;0;1
582;1;1;1;1;1;1
17629;0;1;0;1;0;1
2366;0;1;1;1;1;1
7380;1;1;1;1;0;1
10813;0;1;0;1;0;1
8092;1;1;1;1;1;1
17424;0;1;0;1;0;1
8273;1;1;1;1;1;1
5173;1;1;1;1;0;1
10316;1;1;1;1;1;1
20528;0;0;0;0;0;1
16125;0;0;1;1;0;1
8528;1;1;1;1;1;1
21880;0;0;0;0;1;1
2680;1;1;1;1;1;1
5365;0;1;1;1;0;1
18525;1;0;0;0;0;0
8987;1;1;1;1;1;1
10451;0;0;0;1;0;1
9245;1;1;1;1;1;1
2912;1;1;1;1;0;1
18477;1;0;0;0;0;0
19816;0;0;0;1;0;0
13913;1;1;0;1;0;1
602;1;1;1;1;1;1
861;1;1;1;1;1;1
11549;1;1;1;1;0;1
21183;0;0;0;1;0;1
18642;1;0;0;0;0;0
16417;0;1;0;1;0;1
9294;1;1;1;1;1;1
20855;0;0;0;1;0;0
4056;1;1;1;1;1;1
21758;1;0;1;0;0;0
9779;1;1;1;1;1;1
20734;0;1;0;0;0;0
21683;0;0;1;0;1;0
19730;0;1;0;0;0;0
10977;0;1;0;1;0;0
223;1;1;1;1;1;1
20767;0;0;0;1;0;0
4912;0;0;0;0;1;0
5384;0;0;1;1;1;1
14841;0;1;0;0;0;0
16246;1;1;0;0;1;0
19336;0;0;0;0;0;1
21014;0;0;0;0;1;0
13307;1;0;0;0;0;0
6138;1;1;1;1;1;1
2602;1;1;1;1;1;1
9820;1;1;1;1;1;1
21814;0;1;0;1;0;0
10675;0;1;1;1;0;1
3115;1;1;1;1;1;1
20261;1;0;0;0;0;0
14797;0;0;1;0;1;0
7954;1;1;1;1;1;1
5910;1;1;1;1;1;1
18842;1;0;0;0;0;0
538;1;1;1;1;1;1
20142;0;0;0;1;0;0
18241;0;0;1;0;0;0
9857;1;1;1;1;1;1
22155;0;1;0;0;0;1
13271;0;0;0;1;0;0
17373;0;1;0;1;0;1
6827;1;1;1;1;1;1
10351;1;1;1;1;1;1
6547;1;1;1;1;1;1
16071;0;0;1;1;0;1
705;1;1;1;1;1;1
14146;0;1;0;1;0;0
4;0;0;0;0;1;0
3352;1;1;1;1;1;1
16906;0;1;0;1;0;1
23079;0;0;0;1;0;1
10228;1;1;1;1;1;1
18319;0;0;1;0;0;0
10866;1;0;1;1;0;1
6674;1;1;0;1;0;1
19189;0;0;0;0;0;1
15055;0;0;0;1;0;0
11322;1;1;0;1;1;1
16990;0;1;0;1;0;1
11374;0;1;1;1;1;1
10403;1;1;1;1;1;1
21213;0;0;0;1;0;1
10091;1;1;1;1;1;1
20774;0;0;0;1;0;0
22235;0;1;0;1;0;0
18415;1;0;0;0;0;0
13518;0;1;1;1;0;1
7428;1;1;1;1;0;1
19357;0;0;0;0;0;1
8561;1;1;1;1;1;1
21444;0;1;0;1;0;0
21498;0;0;1;0;1;0
6214;1;1;1;1;1;1
5608;1;1;1;1;1;1
18439;1;0;0;0;0;0
13935;1;1;0;1;0;1
17004;0;1;0;1;0;1
11202;1;1;1;1;0;1
16295;0;1;0;1;0;1
20952;0;0;0;1;0;0
2553;1;1;1;1;1;1
534;1;1;1;1;1;1
21772;1;1;0;0;0;0
14737;0;0;0;0;0;1
15703;0;1;0;1;0;1
11014;0;0;0;1;0;0
17934;0;0;1;0;0;0
937;1;1;1;1;1;1
21411;0;0;1;0;1;0
12760;1;0;0;0;1;0
16054;0;1;0;1;0;1
21262;0;0;0;1;0;1
20497;1;0;0;0;0;0
19002;0;0;0;0;0;1
3723;1;1;1;1;1;1
11937;1;1;1;1;0;1
14811;0;0;0;0;1;0
12551;0;0;1;0;1;0
15239;0;1;0;0;0;0
2167;1;1;1;1;1;1
18759;1;0;0;0;0;0
6694;0;1;1;1;1;1
21519;0;0;1;0;1;0
13854;1;1;0;1;0;1
9031;1;1;1;1;1;1
17162;0;1;0;1;0;1
14965;0;0;1;0;1;0
4364;1;1;1;1;1;0
7336;1;1;1;1;0;0
17436;0;1;0;1;0;1
4989;1;1;1;1;1;1
7259;1;1;1;1;0;1
13977;0;1;0;1;0;1
20378;1;0;0;0;0;0
19481;0;0;0;0;1;0
16983;0;1;0;1;0;1
14313;0;0;1;0;1;0
1311;1;1;1;1;1;1
14680;0;0;0;0;0;1
12803;0;1;0;1;0;1
11124;0;1;1;1;1;1
4622;1;1;1;1;1;1
16420;0;1;0;1;0;1
1421;1;1;1;1;1;1
11431;1;1;0;1;1;1
11377;1;0;1;1;1;1
14384;1;0;0;0;0;0
22266;0;1;0;1;0;0
1271;1;1;1;1;1;1
3921;0;0;0;1;0;1
18584;1;0;0;0;0;0
12664;1;0;1;0;0;0
14401;1;0;1;0;0;0
11544;1;1;1;1;0;1
19013;0;0;0;0;0;1
6395;0;0;0;0;0;1
17423;0;1;0;1;0;1
6997;1;1;1;1;1;1
19241;0;0;0;0;0;1
9953;1;1;1;1;1;1
6420;1;1;1;1;1;1
9583;1;1;1;1;1;1
15503;0;1;0;1;0;1
5101;0;1;1;1;1;1
7784;1;1;0;1;1;1
15335;0;1;0;1;0;1
16568;0;1;0;1;0;1
15321;0;1;0;1;0;1
15561;1;0;0;1;0;1
3324;1;1;1;1;1;1
7144;0;1;0;1;1;1
1970;1;1;1;1;1;1
1026;1;1;1;1;1;1
17966;0;0;1;0;0;0
14957;0;0;0;1;0;0
20582;0;0;0;0;1;0
10397;1;1;1;1;1;1
16147;1;0;1;0;1;0
20061;0;0;0;1;0;0
12488;0;0;0;1;0;1
16563;0;1;0;1;0;1
4712;1;1;1;1;1;1
19127;0;0;0;0;0;1
5194;1;1;1;1;1;1
22125;0;1;0;1;0;0
422;1;1;1;1;1;1
2118;1;1;1;1;1;1
19072;0;0;0;0;0;1
15662;0;1;0;1;0;1
15650;0;1;0;1;0;1
14192;0;0;1;0;1;0
16808;0;1;0;1;0;1
13056;0;1;0;1;0;1
1081;1;1;1;1;1;1
10817;0;0;0;0;0;1
4517;1;1;1;1;1;1
10889;0;1;0;1;0;1
15518;0;1;0;1;0;1
22443;0;1;1;0;0;0
19941;0;0;0;1;0;0
23111;0;0;0;1;0;1
18557;1;0;0;0;0;0
10298;1;1;1;1;1;1
16093;1;0;1;0;1;0
10973;0;1;0;1;0;1
16017;0;1;1;0;1;0
22460;0;1;0;1;0;0
9487;1;1;1;1;1;1
19964;0;0;0;1;0;0
3715;1;1;1;1;1;1
21607;0;0;1;0;1;0
20417;1;0;0;0;0;0
16841;0;1;0;1;0;1
4108;1;1;1;1;1;1
7236;0;1;1;1;1;1
15431;0;1;0;1;0;1
20099;0;0;0;1;0;0
12338;1;1;0;1;1;1
18058;0;0;1;0;0;0
11601;1;1;1;1;0;1
7708;1;1;1;1;0;1
2522;1;1;1;1;0;1
22091;0;1;0;1;0;0
19679;0;1;0;0;0;0
18928;1;0;0;0;0;0
16020;0;1;0;1;0;1
9152;1;1;1;1;1;1
12562;0;0;1;0;0;0
12090;0;1;1;1;1;1
3962;1;1;1;1;1;1
13429;0;1;0;1;1;1
9186;1;1;1;1;1;1
18174;0;0;1;0;0;0
14341;0;0;1;0;0;0
14818;0;0;0;0;1;0
16937;0;1;0;1;0;1
21970;0;1;0;1;0;0
20512;1;0;0;0;0;0
10599;0;0;0;0;1;0
20530;0;0;0;0;0;1
3238;1;1;1;1;1;1
7762;1;1;1;0;1;1
9920;1;1;1;1;1;1
14933;0;0;0;1;0;0
21214;0;0;0;1;0;1
19878;0;0;0;1;0;0
8932;1;1;1;1;1;1
20771;0;0;0;1;0;0
12214;1;1;1;1;0;1
11277;1;1;1;1;0;1
12896;0;1;0;0;0;1
21931;0;1;0;1;0;0
14883;0;1;0;0;0;0
22332;0;1;0;0;0;1
7809;0;1;0;1;0;1
20707;0;1;0;0;0;0
19798;0;0;0;1;0;0
10703;1;1;0;1;0;1
13747;0;1;1;1;1;0
19579;0;1;0;0;0;0
9006;1;1;1;1;1;1
14666;0;0;1;0;1;0
3488;1;1;1;1;1;1
3372;1;1;1;1;1;1
17488;0;1;0;1;0;1
21522;0;0;0;1;0;1
16638;0;1;0;1;0;1
18332;0;0;1;0;0;0
3549;1;1;1;1;1;1
18370;0;0;1;0;0;0
10448;0;1;0;1;0;1
21439;0;0;1;0;1;0
2313;0;0;1;1;1;0
6871;1;1;1;1;1;1
16328;0;1;0;1;0;1
20179;0;0;1;0;0;0
7106;0;1;0;1;1;1
23034;0;0;0;1;0;1
19223;0;0;0;0;0;1
21425;0;0;1;0;1;0
8793;1;1;1;1;1;1
20672;0;0;0;0;1;0
15787;0;1;0;1;0;1
13871;1;1;0;1;0;1
11041;0;1;0;1;1;1
2736;1;1;1;1;1;1
733;1;1;1;1;1;1
757;0;1;0;1;0;1
14719;0;0;0;0;0;1
17731;0;0;0;1;0;0
11913;1;1;1;1;0;1
19153;0;0;0;0;0;1
9867;1;1;1;1;1;1
20343;1;0;0;0;0;0
7094;1;1;1;1;1;1
10871;0;1;0;1;1;1
8967;1;1;1;1;1;1
2745;1;1;1;1;1;1
4276;1;1;1;1;1;1
9416;1;1;1;1;1;1
5515;1;1;1;1;0;1
11469;1;1;0;1;1;1
5692;1;1;1;1;0;1
7125;1;1;1;1;0;1
3433;1;1;1;1;1;1
4725;1;1;1;1;1;1
11174;1;1;1;1;0;1
16775;0;1;0;1;0;1
20773;0;0;0;1;0;0
11894;0;1;1;1;1;1
817;1;1;1;1;1;1
21908;0;1;0;1;0;0
15323;0;1;0;1;0;1
16027;0;1;0;1;0;1
3703;1;1;1;1;1;1
11516;0;1;1;1;1;1
6370;0;1;0;1;1;1
1858;1;1;1;1;1;1
18922;1;0;0;0;0;0
10859;0;0;0;0;1;0
13568;0;1;1;1;1;0
5497;1;1;1;1;1;1
17922;0;0;1;0;0;0
863;1;1;1;1;1;1
8376;1;1;1;1;1;1
7707;0;1;0;1;0;1
681;1;1;1;1;1;1
20548;0;0;0;0;0;1
2462;1;1;1;0;1;1
16666;0;1;0;1;0;1
614;1;1;1;1;1;1
11547;1;1;1;1;1;0
5139;1;1;1;1;1;1
3724;0;1;0;1;0;1
13206;0;1;0;1;0;1
6389;1;1;1;1;1;1
21719;1;0;0;0;1;0
15694;0;1;0;1;0;1
286;1;1;1;1;1;1
21682;0;0;1;0;1;0
11828;1;1;1;1;0;1
12343;1;1;0;1;1;1
10663;1;0;1;0;0;0
18725;0;0;0;0;1;0
1746;1;1;1;1;1;1
4545;1;1;1;1;1;1
20021;0;0;0;1;0;0
21098;0;0;0;1;0;1
5095;1;1;1;1;1;1
14963;0;0;0;1;0;0
23053;0;0;0;1;0;1
14962;0;0;0;1;0;0
1272;1;1;1;1;1;1
17284;0;1;0;1;0;1
9072;1;1;1;1;1;1
7562;1;1;1;1;0;1
11281;0;1;1;1;1;1
16710;0;1;0;1;0;1
14906;0;1;0;1;0;0
10331;1;1;1;1;1;1
20465;1;0;0;0;0;0
1675;1;1;1;1;1;1
20373;1;0;0;0;0;0
15986;0;0;1;1;1;0
4877;1;1;1;1;0;1
5296;1;1;1;1;0;1
19077;0;0;0;0;0;1
10753;1;0;0;0;0;0
8673;1;1;1;1;1;1
23016;0;0;0;1;0;1
14649;0;0;0;1;0;1
3123;1;1;1;1;1;1
10006;1;1;1;1;0;1
19505;0;0;0;0;1;0
3654;1;1;1;1;1;1
13397;0;1;1;1;0;1
5858;1;1;1;1;1;1
18988;0;0;0;0;0;1
20019;0;0;0;1;0;0
719;1;1;1;1;1;1
16641;0;1;0;1;0;1
17456;0;1;0;1;0;1
3142;1;1;1;1;0;1
17186;0;1;0;1;0;1
10807;0;0;0;0;0;1
18516;1;0;0;0;0;0
19765;0;1;0;0;0;0
16984;0;1;0;1;0;1
10413;1;1;1;1;1;1
3319;1;1;1;1;1;1
4048;0;1;1;1;1;1
9384;1;1;1;1;1;1
9774;1;1;1;1;1;1
17565;0;1;0;1;0;1
359;1;1;1;1;1;1
15360;0;1;0;1;0;1
953;1;1;1;1;1;1
15024;0;0;0;1;0;1
8909;1;1;1;1;1;1
4566;1;1;1;1;1;1
19446;0;0;0;0;1;0
4101;1;1;1;1;1;1
3927;1;1;1;0;1;1
14152;0;0;0;1;0;0
1038;1;1;0;1;0;1
11987;0;1;1;1;1;1
18579;1;0;0;0;0;0
7965;1;1;1;1;1;1
3996;1;1;1;1;1;1
4927;1;1;1;1;1;1
13215;0;0;0;1;0;0
5563;1;1;1;1;1;1
23006;0;0;0;1;0;1
4153;1;1;1;1;1;1
3696;1;1;1;1;1;1
20223;0;0;1;0;0;0
9454;1;1;1;1;1;1
2318;1;1;1;1;1;1
3737;1;1;1;1;1;1
16576;0;1;0;1;0;1
19568;0;0;0;0;1;0
13920;1;1;0;1;0;1
1849;0;1;0;1;0;1
14270;0;0;1;0;0;0
8008;1;1;1;1;1;1
12561;0;0;1;0;0;0
833;1;1;1;1;0;1
7492;1;1;1;1;0;1
3562;1;1;1;1;1;1
20363;1;0;0;0;0;0
16947;0;1;0;1;0;1
11876;1;1;1;1;0;1
18543;1;0;0;0;0;0
17334;0;1;0;1;0;1
329;0;0;0;0;0;1
19216;0;0;0;0;0;1
415;1;1;1;1;1;1
13421;0;1;0;1;1;1
972;1;1;1;1;1;1
11677;1;0;1;1;1;1
13879;0;1;1;1;0;1
12279;1;1;1;1;0;1
2828;1;1;1;1;1;1
22949;0;0;0;1;1;0
9832;1;1;1;1;1;1
7353;1;1;1;1;0;1
7258;1;1;1;1;0;1
17744;0;0;0;0;1;0
4948;1;1;1;1;1;1
19633;0;1;0;0;0;0
14275;0;0;1;0;0;0
3613;1;1;1;1;1;1
3018;1;1;1;1;1;0
7574;1;1;1;1;0;1
9239;1;1;1;1;1;1
19113;0;0;0;0;0;1
14240;0;0;1;0;0;0
22204;0;1;0;0;0;1
11195;1;1;1;1;0;1
15687;1;0;0;1;0;1
1170;1;1;1;1;0;1
1021;1;1;1;1;1;1
8668;1;1;1;1;1;1
7206;0;0;1;1;1;1
16778;0;1;0;1;0;1
193;0;0;0;1;0;1
13154;0;1;0;1;0;1
15797;0;0;0;1;1;1
9106;1;1;1;1;1;1
12352;1;1;0;1;1;1
711;1;1;1;1;1;1
21352;0;0;1;0;1;0
7725;1;1;1;1;0;1
10781;0;0;0;0;0;1
12656;0;0;1;0;1;0
10395;1;1;1;1;1;1
5285;1;1;1;1;0;1
6059;1;1;1;1;1;1
7722;0;1;0;1;0;1
21034;0;0;0;1;0;0
11188;0;1;1;1;1;1
16001;0;0;1;1;0;1
5200;0;1;0;1;0;1
8558;1;1;1;1;1;1
2135;1;1;1;1;1;1
7995;1;1;1;1;1;1
12158;0;1;1;1;1;1
85;1;0;1;0;0;1
1455;1;0;1;1;1;1
4978;0;1;1;1;1;1
11393;0;1;1;1;1;1
2623;1;1;1;1;1;1
15122;0;0;0;1;0;0
3528;1;1;1;1;1;1
1148;1;1;1;1;1;1
2616;1;1;1;1;1;1
1951;1;1;1;1;1;1
8669;1;1;1;1;1;1
6468;0;1;1;1;1;1
21803;1;0;1;0;0;0
5939;1;1;1;1;1;1
13532;0;1;1;1;0;1
13059;0;1;0;1;0;0
3758;1;1;1;1;1;1
20232;0;0;1;0;0;0
3491;1;1;1;1;1;1
22431;0;1;0;0;0;1
18461;1;0;0;0;0;0
9380;1;1;1;1;1;1
10902;0;1;0;1;0;1
818;1;1;1;1;1;1
19751;0;1;0;0;0;0
14034;0;1;0;1;1;1
1064;1;1;1;1;1;1
22674;0;0;0;1;0;1
11502;1;1;1;1;0;1
9269;1;1;1;1;1;1
2661;1;1;1;1;1;1
18707;1;0;0;0;0;0
8271;1;1;1;1;1;1
14224;0;0;1;0;0;0
3964;1;1;1;1;1;1
4293;1;1;1;1;1;1
644;1;1;0;0;1;1
11743;1;1;1;1;0;1
18059;0;0;1;0;0;0
350;1;1;1;1;1;1
21045;0;0;0;1;0;0
15278;0;0;0;1;0;0
8502;1;1;1;1;1;1
12195;0;1;1;1;1;1
8799;1;1;1;1;1;1
13477;0;1;0;1;0;1
4803;1;1;1;1;1;1
9376;1;1;1;1;1;1
22261;0;1;0;1;0;0
4762;1;1;1;1;1;1
23135;0;0;0;1;0;1
19585;0;1;0;0;0;0
1653;1;1;1;1;1;1
13744;1;0;1;0;1;1
8251;1;1;1;1;1;1
21800;0;1;0;1;0;0
10310;1;1;1;1;1;1
10751;1;1;0;1;0;1
9014;1;1;1;1;1;1
5431;1;0;1;1;1;0
14030;0;1;0;1;1;1
2196;1;1;1;1;1;1
20376;1;0;0;0;0;0
15919;0;1;0;1;0;1
19366;0;0;0;0;0;1
8513;1;1;1;1;1;1
3309;1;1;1;1;1;1
19321;0;0;0;0;0;1
15539;0;1;0;1;0;1
13678;0;1;1;1;0;1
19000;0;0;0;0;0;1
10955;0;1;1;1;0;1
14284;0;0;0;0;1;0
14428;1;0;0;0;0;0
20926;0;0;0;1;0;0
19143;0;0;0;0;0;1
7481;1;0;0;0;0;0
3447;1;1;1;1;1;1
19792;0;0;0;1;0;0
748;1;1;1;1;1;1
10399;1;1;1;1;1;1
16746;0;1;0;1;0;1
11035;0;1;1;1;1;0
6188;1;1;1;1;1;1
2353;0;1;1;1;1;1
4773;1;1;1;1;1;1
433;0;0;0;0;0;1
3637;1;1;1;1;1;1
20371;1;0;0;0;0;0
21506;0;0;1;0;1;0
8170;1;1;1;1;1;1
22133;0;1;0;1;0;0
14681;0;0;0;0;0;1
12316;0;1;1;1;1;1
3884;1;1;1;1;1;1
3903;1;1;1;1;1;1
6858;1;1;1;1;1;1
19018;0;0;0;0;0;1
16567;0;1;0;1;0;1
8727;1;1;1;1;1;1
2338;1;1;0;1;1;1
15940;0;1;0;1;0;1
15433;0;1;0;1;0;1
22224;0;1;0;1;0;0
19758;0;1;0;0;0;0
10964;1;1;0;1;0;0
7414;1;1;1;1;0;1
19185;0;0;0;0;0;1
21002;0;0;0;1;0;0
4992;1;1;1;1;1;1
5126;1;1;1;1;1;1
2652;1;1;1;1;1;1
9512;1;1;1;1;1;1
13603;0;0;1;1;1;1
8886;1;1;1;1;1;1
